SubscriberIdentityNumber,Phone Number,Subscriber Name,SSN,Subscriber Age,State,Zip Code,SubscribedFromDate,Internet Service,SMS Service,Churn Status
345279366547404,1526694846,,214448952,37,,44135,,,,
345279376547405,1526694847,,214448953,38,,44136,,,,
345279386547406,1526694848,,214448954,39,,44137,,,,
345279396547407,1526694849,,214448955,40,,44138,,,,
345279406547408,1526694850,,214448956,25,,44139,,,,
345279416547409,1526694851,,214448957,26,,44140,,,,
345279426547410,1526694852,,214448958,27,,44141,,,,
345279436547411,1526694853,,214448959,28,,44142,,,,
345279446547412,1526694854,,214448960,29,,44143,,,,
345279456547413,1526694855,,214448961,30,,49735,,,,
345279466547414,1526694856,,214448962,31,,49735,,,,
345279476547415,1526694857,,214448963,32,,49735,,,,
345279486547416,1526694858,,214448964,33,,49735,,,,
345279496547417,1526694859,,214448965,34,,49735,,,,
345279506547418,1526694860,,214448966,35,,49735,,,,
345279516547419,1526694861,,214448967,36,,49735,,,,
345279526547420,1526694862,,214448968,37,,49735,,,,
345279536547421,1526694863,,214448969,38,,49735,,,,
345279546547422,1526694864,,214448970,39,,49735,,,,
345279556547423,1526694865,,214448971,40,,49735,,,,
345279566547424,1526694866,,214448972,41,,49735,,,,
345279576547425,1526694867,,214448973,42,,49735,,,,
345279586547426,1526694868,,214448974,43,,49735,,,,
345279596547427,1526694869,,214448975,44,,49735,,,,
345279606547428,1526694870,,214448976,33,,49735,,,,
345279616547429,1526694871,,214448977,23,,49735,,,,
345279626547430,1526694872,,214448978,78,,49735,,,,
345279636547431,1526694873,,214448979,68,,49735,,,,
345279646547432,1526694874,,214448980,57,,49735,,,,
345279656547433,1526694875,,214448981,25,,85005,,,,
345279666547434,1526694876,,214448982,15,,33130,,,,
345279676547435,1526694877,,214448983,45,,10005,,,,
345279686547436,1526694878,,214448984,62,,10006,,,,
345279696547437,1526694879,,214448985,15,,10007,,,,
345279706547438,1526694880,,214448986,33,,10008,,,,
345279716547439,1526694881,,214448987,22,,10009,,,,
345279726547440,1526694882,,214448988,78,,10010,,,,
345279736547441,1526694883,,214448989,55,,10011,,,,
345279746547442,1526694884,,214448990,44,,10012,,,,
345279756547443,1526694885,,214448991,33,,10013,,,,
345279766547444,1526694886,,214448992,22,,10014,,,,
345279776547445,1526694887,,214448993,45,,10015,,,,
345279786547446,1526694888,,214448994,54,,10016,,,,
345279796547447,1526694889,,214448995,44,,10017,,,,
345279806547448,1526694890,,214448996,33,,10018,,,,
345279816547449,1526694891,,214448997,67,,10019,,,,
345279826547450,1526694892,,214448998,22,,10020,,,,
345279836547451,1526694893,,214448999,34,,10021,,,,
345279846547452,1526694894,,214449000,35,,7039,,,,
345279856547453,1526694895,,214449001,36,,27565,,,,
345279866547454,1526694896,,214449002,37,,10005,,,,
345279876547455,1526694897,,214449003,38,,10006,,,,
345279886547456,1526694898,,214449004,39,,10007,,,,
345279896547457,1526694899,,214449005,40,,10008,,,,
345279906547458,1526694900,,214449006,25,,10009,,,,
345279916547459,1526694901,,214449007,26,,10010,,,,
345279926547460,1526694902,,214449008,27,,10011,,,,
345279936547461,1526694903,,214449009,28,,10012,,,,
345279946547462,1526694904,,214449010,29,,10013,,,,
345279956547463,1526694905,,214449011,30,,10014,,,,
345279966547464,1526694906,,214449012,31,,10015,,,,
345279976547465,1526694907,,214449013,32,,10016,,,,
345279986547466,1526694908,,214449014,33,,10017,,,,
345279996547467,1526694909,,214449015,34,,10018,,,,
345280006547468,1526694910,,214449016,35,,10019,,,,
345280016547469,1526694911,,214449017,36,,10020,,,,
345280026547470,1526694912,,214449018,37,,10021,,,,
345280036547471,1526694913,,214449019,38,,44102,,,,
345280046547472,1526694914,,214449020,39,,44103,,,,
345280056547473,1526694915,,214449021,40,,44104,,,,
345280066547474,1526694916,,214449022,41,,44105,,,,
345280076547475,1526694917,,214449023,42,,44106,,,,
345280086547476,1526694918,,214449024,43,,44107,,,,
345280096547477,1526694919,,214449025,44,,44108,,,,
345280106547478,1526694920,,214449026,33,,44109,,,,
345280116547479,1526694921,,214449027,23,,44110,,,,
345280126547480,1526694922,,214449028,78,,44111,,,,
345280136547481,1526694923,,214449029,68,,44112,,,,
345280146547482,1526694924,,214449030,57,,44113,,,,
345280156547483,1526694925,,214449031,25,,44114,,,,
345280166547484,1526694926,,214449032,15,,44115,,,,
345280176547485,1526694927,,214449033,45,,44116,,,,
345280186547486,1526694928,,214449034,62,,44117,,,,
345280196547487,1526694929,,214449035,15,,44118,,,,
345280206547488,1526694930,,214449036,33,,44119,,,,
345280216547489,1526694931,,214449037,22,,44120,,,,
345280226547490,1526694932,,214449038,78,,44121,,,,
345280236547491,1526694933,,214449039,55,,44122,,,,
345280246547492,1526694934,,214449040,44,,44123,,,,
345280256547493,1526694935,,214449041,33,,44124,,,,
345280266547494,1526694936,,214449042,22,,44125,,,,
345280276547495,1526694937,,214449043,45,,44126,,,,
345280286547496,1526694938,,214449044,54,,44127,,,,
345280296547497,1526694939,,214449045,44,,44128,,,,
345280306547498,1526694940,,214449046,33,,44129,,,,
345280316547499,1526694941,,214449047,67,,44130,,,,
345280326547500,1526694942,,214449048,22,,44131,,,,
345280336547501,1526694943,,214449049,34,,44132,,,,
345280346547502,1526694944,,214449050,35,,44133,,,,
345280356547503,1526694945,,214449051,36,,44134,,,,
345280366547504,1526694946,,214449052,37,,44135,,,,
345280376547505,1526694947,,214449053,38,,44136,,,,
345280386547506,1526694948,,214449054,39,,44137,,,,
345280396547507,1526694949,,214449055,40,,44138,,,,
345280406547508,1526694950,,214449056,25,,44139,,,,
345280416547509,1526694951,,214449057,26,,44140,,,,
345280426547510,1526694952,,214449058,27,,44141,,,,
345280436547511,1526694953,,214449059,28,,44142,,,,
345280446547512,1526694954,,214449060,29,,44143,,,,
345280456547513,1526694955,,214449061,30,,49735,,,,
345280466547514,1526694956,,214449062,31,,49735,,,,
345280476547515,1526694957,,214449063,32,,49735,,,,
345280486547516,1526694958,,214449064,33,,49735,,,,
345280496547517,1526694959,,214449065,34,,49735,,,,
345280506547518,1526694960,,214449066,35,,49735,,,,
345280516547519,1526694961,,214449067,36,,49735,,,,
345280526547520,1526694962,,214449068,37,,49735,,,,
345280536547521,1526694963,,214449069,38,,49735,,,,
345280546547522,1526694964,,214449070,39,,49735,,,,
345280556547523,1526694965,,214449071,40,,49735,,,,
345280566547524,1526694966,,214449072,41,,49735,,,,
345280576547525,1526694967,,214449073,42,,49735,,,,
345280586547526,1526694968,,214449074,43,,49735,,,,
345280596547527,1526694969,,214449075,44,,49735,,,,
345280606547528,1526694970,,214449076,33,,49735,,,,
345280616547529,1526694971,,214449077,23,,49735,,,,
345280626547530,1526694972,,214449078,78,,49735,,,,
345280636547531,1526694973,,214449079,68,,49735,,,,
345280646547532,1526694974,,214449080,57,,49735,,,,
345280656547533,1526694975,,214449081,25,,85005,,,,
345280666547534,1526694976,,214449082,15,,33130,,,,
345280676547535,1526694977,,214449083,45,,10005,,,,
345280686547536,1526694978,,214449084,62,,10006,,,,
345280696547537,1526694979,,214449085,15,,10007,,,,
345280706547538,1526694980,,214449086,33,,10008,,,,
345280716547539,1526694981,,214449087,22,,10009,,,,
345280726547540,1526694982,,214449088,78,,10010,,,,
345280736547541,1526694983,,214449089,55,,10011,,,,
345280746547542,1526694984,,214449090,44,,10012,,,,
345280756547543,1526694985,,214449091,33,,10013,,,,
345280766547544,1526694986,,214449092,22,,10014,,,,
345280776547545,1526694987,,214449093,45,,10015,,,,
345280786547546,1526694988,,214449094,54,,10016,,,,
345280796547547,1526694989,,214449095,44,,10017,,,,
345280806547548,1526694990,,214449096,33,,10018,,,,
345280816547549,1526694991,,214449097,67,,10019,,,,
345280826547550,1526694992,,214449098,22,,10020,,,,
345280836547551,1526694993,,214449099,34,,10021,,,,
345280846547552,1526694994,,214449100,35,,7039,,,,
345280856547553,1526694995,,214449101,36,,27565,,,,
345280866547554,1526694996,,214449102,37,,10005,,,,
345280876547555,1526694997,,214449103,38,,10006,,,,
345280886547556,1526694998,,214449104,39,,10007,,,,
345280896547557,1526694999,,214449105,40,,10008,,,,
345280906547558,1526695000,,214449106,25,,10009,,,,
345280916547559,1526695001,,214449107,26,,10010,,,,
345280926547560,1526695002,,214449108,27,,10011,,,,
345280936547561,1526695003,,214449109,28,,10012,,,,
345280946547562,1526695004,,214449110,29,,10013,,,,
345280956547563,1526695005,,214449111,30,,10014,,,,
345280966547564,1526695006,,214449112,31,,10015,,,,
345280976547565,1526695007,,214449113,32,,10016,,,,
345280986547566,1526695008,,214449114,33,,10017,,,,
345280996547567,1526695009,,214449115,34,,10018,,,,
345281006547568,1526695010,,214449116,35,,10019,,,,
345281016547569,1526695011,,214449117,36,,10020,,,,
345281026547570,1526695012,,214449118,37,,10021,,,,
345281036547571,1526695013,,214449119,38,,44102,,,,
345281046547572,1526695014,,214449120,39,,44103,,,,
345281056547573,1526695015,,214449121,40,,44104,,,,
345281066547574,1526695016,,214449122,41,,44105,,,,
345281076547575,1526695017,,214449123,42,,44106,,,,
345281086547576,1526695018,,214449124,43,,44107,,,,
345281096547577,1526695019,,214449125,44,,44108,,,,
345281106547578,1526695020,,214449126,33,,44109,,,,
345281116547579,1526695021,,214449127,23,,44110,,,,
345281126547580,1526695022,,214449128,78,,44111,,,,
345281136547581,1526695023,,214449129,68,,44112,,,,
345281146547582,1526695024,,214449130,57,,44113,,,,
345281156547583,1526695025,,214449131,25,,44114,,,,
345281166547584,1526695026,,214449132,15,,44115,,,,
345281176547585,1526695027,,214449133,45,,44116,,,,
345281186547586,1526695028,,214449134,62,,44117,,,,
345281196547587,1526695029,,214449135,15,,44118,,,,
345281206547588,1526695030,,214449136,33,,44119,,,,
345281216547589,1526695031,,214449137,22,,44120,,,,
345281226547590,1526695032,,214449138,78,,44121,,,,
345281236547591,1526695033,,214449139,55,,44122,,,,
345281246547592,1526695034,,214449140,44,,44123,,,,
345281256547593,1526695035,,214449141,33,,44124,,,,
345281266547594,1526695036,,214449142,22,,44125,,,,
345281276547595,1526695037,,214449143,45,,44126,,,,
345281286547596,1526695038,,214449144,54,,44127,,,,
345281296547597,1526695039,,214449145,44,,44128,,,,
345281306547598,1526695040,,214449146,33,,44129,,,,
345281316547599,1526695041,,214449147,67,,44130,,,,
345281326547600,1526695042,,214449148,22,,44131,,,,
345281336547601,1526695043,,214449149,34,,44132,,,,
345281346547602,1526695044,,214449150,35,,44133,,,,
345281356547603,1526695045,,214449151,36,,44134,,,,
345281366547604,1526695046,,214449152,37,,44135,,,,
345281376547605,1526695047,,214449153,38,,44136,,,,
345281386547606,1526695048,,214449154,39,,44137,,,,
345281396547607,1526695049,,214449155,40,,44138,,,,
345281406547608,1526695050,,214449156,25,,44139,,,,
345281416547609,1526695051,,214449157,26,,44140,,,,
345281426547610,1526695052,,214449158,27,,44141,,,,
345281436547611,1526695053,,214449159,28,,44142,,,,
345281446547612,1526695054,,214449160,29,,44143,,,,
345281456547613,1526695055,,214449161,30,,49735,,,,
345281466547614,1526695056,,214449162,31,,49735,,,,
345281476547615,1526695057,,214449163,32,,49735,,,,
345281486547616,1526695058,,214449164,33,,49735,,,,
345281496547617,1526695059,,214449165,34,,49735,,,,
345281506547618,1526695060,,214449166,35,,49735,,,,
345281516547619,1526695061,,214449167,36,,49735,,,,
345281526547620,1526695062,,214449168,37,,49735,,,,
345281536547621,1526695063,,214449169,38,,49735,,,,
345281546547622,1526695064,,214449170,39,,49735,,,,
345281556547623,1526695065,,214449171,40,,49735,,,,
345281566547624,1526695066,,214449172,41,,49735,,,,
345281576547625,1526695067,,214449173,42,,49735,,,,
345281586547626,1526695068,,214449174,43,,49735,,,,
345281596547627,1526695069,,214449175,44,,49735,,,,
345281606547628,1526695070,,214449176,33,,49735,,,,
345281616547629,1526695071,,214449177,23,,49735,,,,
345281626547630,1526695072,,214449178,78,,49735,,,,
345281636547631,1526695073,,214449179,68,,49735,,,,
345281646547632,1526695074,,214449180,57,,49735,,,,
345281656547633,1526695075,,214449181,25,,85005,,,,
345281666547634,1526695076,,214449182,15,,33130,,,,
345281676547635,1526695077,,214449183,45,,10005,,,,
345281686547636,1526695078,,214449184,62,,10006,,,,
345281696547637,1526695079,,214449185,15,,10007,,,,
345281706547638,1526695080,,214449186,33,,10008,,,,
345281716547639,1526695081,,214449187,22,,10009,,,,
345281726547640,1526695082,,214449188,78,,10010,,,,
345281736547641,1526695083,,214449189,55,,10011,,,,
345281746547642,1526695084,,214449190,44,,10012,,,,
345281756547643,1526695085,,214449191,33,,10013,,,,
345281766547644,1526695086,,214449192,22,,10014,,,,
345281776547645,1526695087,,214449193,45,,10015,,,,
345281786547646,1526695088,,214449194,54,,10016,,,,
345281796547647,1526695089,,214449195,44,,10017,,,,
345281806547648,1526695090,,214449196,33,,10018,,,,
345281816547649,1526695091,,214449197,67,,10019,,,,
345281826547650,1526695092,,214449198,22,,10020,,,,
345281836547651,1526695093,,214449199,34,,10021,,,,
345281846547652,1526695094,,214449200,35,,7039,,,,
345281856547653,1526695095,,214449201,36,,27565,,,,
345281866547654,1526695096,,214449202,37,,10005,,,,
345281876547655,1526695097,,214449203,38,,10006,,,,
345281886547656,1526695098,,214449204,39,,10007,,,,
345281896547657,1526695099,,214449205,40,,10008,,,,
345281906547658,1526695100,,214449206,25,,10009,,,,
345281916547659,1526695101,,214449207,26,,10010,,,,
345281926547660,1526695102,,214449208,27,,10011,,,,
345281936547661,1526695103,,214449209,28,,10012,,,,
345281946547662,1526695104,,214449210,29,,10013,,,,
345281956547663,1526695105,,214449211,30,,10014,,,,
345281966547664,1526695106,,214449212,31,,10015,,,,
345281976547665,1526695107,,214449213,32,,10016,,,,
345281986547666,1526695108,,214449214,33,,10017,,,,
345281996547667,1526695109,,214449215,34,,10018,,,,
345282006547668,1526695110,,214449216,35,,10019,,,,
345282016547669,1526695111,,214449217,36,,10020,,,,
345282026547670,1526695112,,214449218,37,,10021,,,,
345282036547671,1526695113,,214449219,38,,44102,,,,
345282046547672,1526695114,,214449220,39,,44103,,,,
345282056547673,1526695115,,214449221,40,,44104,,,,
345282066547674,1526695116,,214449222,41,,44105,,,,
345282076547675,1526695117,,214449223,42,,44106,,,,
345282086547676,1526695118,,214449224,43,,44107,,,,
345282096547677,1526695119,,214449225,44,,44108,,,,
345282106547678,1526695120,,214449226,33,,44109,,,,
345282116547679,1526695121,,214449227,23,,44110,,,,
345282126547680,1526695122,,214449228,78,,44111,,,,
345282136547681,1526695123,,214449229,68,,44112,,,,
345282146547682,1526695124,,214449230,57,,44113,,,,
345282156547683,1526695125,,214449231,25,,44114,,,,
345282166547684,1526695126,,214449232,15,,44115,,,,
345282176547685,1526695127,,214449233,45,,44116,,,,
345282186547686,1526695128,,214449234,62,,44117,,,,
345282196547687,1526695129,,214449235,15,,44118,,,,
345282206547688,1526695130,,214449236,33,,44119,,,,
345282216547689,1526695131,,214449237,22,,44120,,,,
345282226547690,1526695132,,214449238,78,,44121,,,,
345282236547691,1526695133,,214449239,55,,44122,,,,
345282246547692,1526695134,,214449240,44,,44123,,,,
345282256547693,1526695135,,214449241,33,,44124,,,,
345282266547694,1526695136,,214449242,22,,44125,,,,
345282276547695,1526695137,,214449243,45,,44126,,,,
345282286547696,1526695138,,214449244,54,,44127,,,,
345282296547697,1526695139,,214449245,44,,44128,,,,
345282306547698,1526695140,,214449246,33,,44129,,,,
345282316547699,1526695141,,214449247,67,,44130,,,,
345282326547700,1526695142,,214449248,22,,44131,,,,
345282336547701,1526695143,,214449249,34,,44132,,,,
345282346547702,1526695144,,214449250,35,,44133,,,,
345282356547703,1526695145,,214449251,36,,44134,,,,
345282366547704,1526695146,,214449252,37,,44135,,,,
345282376547705,1526695147,,214449253,38,,44136,,,,
345282386547706,1526695148,,214449254,39,,44137,,,,
345282396547707,1526695149,,214449255,40,,44138,,,,
345282406547708,1526695150,,214449256,25,,44139,,,,
345282416547709,1526695151,,214449257,26,,44140,,,,
345282426547710,1526695152,,214449258,27,,44141,,,,
345282436547711,1526695153,,214449259,28,,44142,,,,
345282446547712,1526695154,,214449260,29,,44143,,,,
345282456547713,1526695155,,214449261,30,,49735,,,,
345282466547714,1526695156,,214449262,31,,49735,,,,
345282476547715,1526695157,,214449263,32,,49735,,,,
345282486547716,1526695158,,214449264,33,,49735,,,,
345282496547717,1526695159,,214449265,34,,49735,,,,
345282506547718,1526695160,,214449266,35,,49735,,,,
345282516547719,1526695161,,214449267,36,,49735,,,,
345282526547720,1526695162,,214449268,37,,49735,,,,
345282536547721,1526695163,,214449269,38,,49735,,,,
345282546547722,1526695164,,214449270,39,,49735,,,,
345282556547723,1526695165,,214449271,40,,49735,,,,
345282566547724,1526695166,,214449272,41,,49735,,,,
345282576547725,1526695167,,214449273,42,,49735,,,,
345282586547726,1526695168,,214449274,43,,49735,,,,
345282596547727,1526695169,,214449275,44,,49735,,,,
345282606547728,1526695170,,214449276,33,,49735,,,,
345282616547729,1526695171,,214449277,23,,49735,,,,
345282626547730,1526695172,,214449278,78,,49735,,,,
345282636547731,1526695173,,214449279,68,,49735,,,,
345282646547732,1526695174,,214449280,57,,49735,,,,
345282656547733,1526695175,,214449281,25,,85005,,,,
345282666547734,1526695176,,214449282,15,,33130,,,,
345282676547735,1526695177,,214449283,45,,10005,,,,
345282686547736,1526695178,,214449284,62,,10006,,,,
345282696547737,1526695179,,214449285,15,,10007,,,,
345282706547738,1526695180,,214449286,33,,10008,,,,
345282716547739,1526695181,,214449287,22,,10009,,,,
345282726547740,1526695182,,214449288,78,,10010,,,,
345282736547741,1526695183,,214449289,55,,10011,,,,
345282746547742,1526695184,,214449290,44,,10012,,,,
345282756547743,1526695185,,214449291,33,,10013,,,,
345282766547744,1526695186,,214449292,22,,10014,,,,
345282776547745,1526695187,,214449293,45,,10015,,,,
345282786547746,1526695188,,214449294,54,,10016,,,,
345282796547747,1526695189,,214449295,44,,10017,,,,
345282806547748,1526695190,,214449296,33,,10018,,,,
345282816547749,1526695191,,214449297,67,,10019,,,,
345282826547750,1526695192,,214449298,22,,10020,,,,
345282836547751,1526695193,,214449299,34,,10021,,,,
345282846547752,1526695194,,214449300,35,,7039,,,,
345282856547753,1526695195,,214449301,36,,27565,,,,
345282866547754,1526695196,,214449302,37,,10005,,,,
345282876547755,1526695197,,214449303,38,,10006,,,,
345282886547756,1526695198,,214449304,39,,10007,,,,
345282896547757,1526695199,,214449305,40,,10008,,,,
345282906547758,1526695200,,214449306,25,,10009,,,,
345282916547759,1526695201,,214449307,26,,10010,,,,
345282926547760,1526695202,,214449308,27,,10011,,,,
345282936547761,1526695203,,214449309,28,,10012,,,,
345282946547762,1526695204,,214449310,29,,10013,,,,
345282956547763,1526695205,,214449311,30,,10014,,,,
345282966547764,1526695206,,214449312,31,,10015,,,,
345282976547765,1526695207,,214449313,32,,10016,,,,
345282986547766,1526695208,,214449314,33,,10017,,,,
345282996547767,1526695209,,214449315,34,,10018,,,,
345283006547768,1526695210,,214449316,35,,10019,,,,
345283016547769,1526695211,,214449317,36,,10020,,,,
345283026547770,1526695212,,214449318,37,,10021,,,,
345283036547771,1526695213,,214449319,38,,44102,,,,
345283046547772,1526695214,,214449320,39,,44103,,,,
345283056547773,1526695215,,214449321,40,,44104,,,,
345283066547774,1526695216,,214449322,41,,44105,,,,
345283076547775,1526695217,,214449323,42,,44106,,,,
345283086547776,1526695218,,214449324,43,,44107,,,,
345283096547777,1526695219,,214449325,44,,44108,,,,
345283106547778,1526695220,,214449326,33,,44109,,,,
345283116547779,1526695221,,214449327,23,,44110,,,,
345283126547780,1526695222,,214449328,78,,44111,,,,
345283136547781,1526695223,,214449329,68,,44112,,,,
345283146547782,1526695224,,214449330,57,,44113,,,,
345283156547783,1526695225,,214449331,25,,44114,,,,
345283166547784,1526695226,,214449332,15,,44115,,,,
345283176547785,1526695227,,214449333,45,,44116,,,,
345283186547786,1526695228,,214449334,62,,44117,,,,
345283196547787,1526695229,,214449335,15,,44118,,,,
345283206547788,1526695230,,214449336,33,,44119,,,,
345283216547789,1526695231,,214449337,22,,44120,,,,
345283226547790,1526695232,,214449338,78,,44121,,,,
345283236547791,1526695233,,214449339,55,,44122,,,,
345283246547792,1526695234,,214449340,44,,44123,,,,
345283256547793,1526695235,,214449341,33,,44124,,,,
345283266547794,1526695236,,214449342,22,,44125,,,,
345283276547795,1526695237,,214449343,45,,44126,,,,
345283286547796,1526695238,,214449344,54,,44127,,,,
345283296547797,1526695239,,214449345,44,,44128,,,,
345283306547798,1526695240,,214449346,33,,44129,,,,
345283316547799,1526695241,,214449347,67,,44130,,,,
345283326547800,1526695242,,214449348,22,,44131,,,,
345283336547801,1526695243,,214449349,34,,44132,,,,
345283346547802,1526695244,,214449350,35,,44133,,,,
345283356547803,1526695245,,214449351,36,,44134,,,,
345283366547804,1526695246,,214449352,37,,44135,,,,
345283376547805,1526695247,,214449353,38,,44136,,,,
345283386547806,1526695248,,214449354,39,,44137,,,,
345283396547807,1526695249,,214449355,40,,44138,,,,
345283406547808,1526695250,,214449356,25,,44139,,,,
345283416547809,1526695251,,214449357,26,,44140,,,,
345283426547810,1526695252,,214449358,27,,44141,,,,
345283436547811,1526695253,,214449359,28,,44142,,,,
345283446547812,1526695254,,214449360,29,,44143,,,,
345283456547813,1526695255,,214449361,30,,49735,,,,
345283466547814,1526695256,,214449362,31,,49735,,,,
345283476547815,1526695257,,214449363,32,,49735,,,,
345283486547816,1526695258,,214449364,33,,49735,,,,
345283496547817,1526695259,,214449365,34,,49735,,,,
345283506547818,1526695260,,214449366,35,,49735,,,,
345283516547819,1526695261,,214449367,36,,49735,,,,
345283526547820,1526695262,,214449368,37,,49735,,,,
345283536547821,1526695263,,214449369,38,,49735,,,,
345283546547822,1526695264,,214449370,39,,49735,,,,
345283556547823,1526695265,,214449371,40,,49735,,,,
345283566547824,1526695266,,214449372,41,,49735,,,,
345283576547825,1526695267,,214449373,42,,49735,,,,
345283586547826,1526695268,,214449374,43,,49735,,,,
345283596547827,1526695269,,214449375,44,,49735,,,,
345283606547828,1526695270,,214449376,33,,49735,,,,
345283616547829,1526695271,,214449377,23,,49735,,,,
345283626547830,1526695272,,214449378,78,,49735,,,,
345283636547831,1526695273,,214449379,68,,49735,,,,
345283646547832,1526695274,,214449380,57,,49735,,,,
